Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?	Bipartisan Press Bias	Unnamed: 10	Factual Reporting	Unnamed: 12	(probably not needed)
Vienna Is The New Havana Syndrome Hot Spot	https://www.newyorker.com/news/news-desk/vienna-is-the-new-havana-syndrome-hotspot	The New Yorker	40.13	-13.3	19,425,000	Left	30.0	July 18, 2021	False	-2.437288				
										ERROR				
										ERROR				
Still looking for answers': South Africa reels from deadly riots	https://www.aljazeera.com/news/2021/7/19/still-looking-for-answers-south-africa-reels-from-deadly-riots	Al Jazeera				Left-Center	1.0	July 19, 2021	True	0.330887				
Indiana University's vaccine requirement should stand, federal judge rules	https://www.npr.org/2021/07/19/1018010489/indiana-universitys-vaccine-requirement-should-stand-federal-judge-rules	NPR	46.41	-5.24	38,240,000	Left-Center	2.0	July 19, 2021	True	-1.957004				
Mask mandates make a return - along with controversy	https://www.washingtonpost.com/health/2021/07/19/mask-mandates-returning/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	3.0	July 19, 2021	True	1.203368				
Sprawling Oregon blaze expands, while firefighters gain ground	https://www.reuters.com/world/us/massive-oregon-wildfire-grows-worse-forcing-more-residents-flee-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	4.0	July 19, 2021	True	-0.365538				
COVID-19 worries ripple through markets	https://www.wsj.com/articles/how-jitters-about-the-global-economy-are-rippling-through-markets-11626730635	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	5.0	July 19, 2021	True	LOWDATA				
Wind and lightning complicate Bootleg fire as 80 blazes burn across 13 states	https://www.theguardian.com/us-news/2021/jul/19/oregon-bootleg-fire-latest-news-largest-us	The Guardian	44.42	-9.93	88,750,000	Left-Center	6.0	July 19, 2021	True	-4.724361				
Infrastructure deal in precarious state as endgame nears	https://www.washingtonpost.com/politics/biden-infrastructure-deal-peril/2021/07/19/8e5478be-e8a1-11eb-97a0-a09d10181e36_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	7.0	July 19, 2021	True	-1.264547				
Peru socialist Castillo confirmed president after lengthy battle over results	https://www.reuters.com/world/americas/perus-fujimori-admits-defeat-presidential-election-lashes-out-socialist-rival-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	8.0	July 19, 2021	True	-0.52859				
Delta Variant Helps Push Covid-19 Cases Higher In Every State	https://www.wsj.com/articles/delta-variant-helps-push-covid-19-cases-higher-in-every-state-11626733436	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	9.0	July 19, 2021	True	LOWDATA				
Only nature, through significant rain or snow, can extinguish huge Oregon fire, official says	https://www.washingtonpost.com/nation/2021/07/19/bootleg-fire-weather-event/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10.0	July 19, 2021	True	-5.561751				
State Department raises travel advisory for the UK to its highest level as Covid-19 cases rise	https://www.cnn.com/2021/07/19/politics/state-department-uk-covid-travel-advisory-level/index.html	CNN	43.77	-8.78	79,900,000	Left	11.0	July 19, 2021	True	-2.121896				
This is who I am': Predators prospect Luke Prokop comes out	https://theathletic.com/2711747/2021/07/19/luke-prokop/	The Athletic				Unknown	12.0	July 19, 2021	True	-1.307308				
U.S. issues 'Do Not Travel' advisory for UK over COVID-19	https://www.reuters.com/business/healthcare-pharmaceuticals/us-cdc-raises-covid-warning-travelers-united-kingdom-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	13.0	July 19, 2021	True	-1.141086				
Dow futures drop more than 100 points after major averages post first negative week in four	https://www.cnbc.com/2021/07/18/stock-market-futures-open-to-close-news.html	CNBC	45.45	-2.05	27,050,000	Left-Center	14.0	July 19, 2021	False	1.833852				
Nashville Predators prospect Luke Prokop says he is gay, hopes living 'authentic life' helps NHL career	https://www.espn.com/nhl/story/_/id/31843069/nashville-predators-prospect-luke-prokop-says-gay-hopes-living-authentic-life-helps-nhl-career	ESPN				Left-Center	15.0	July 19, 2021	True	-1.076476				
It's Not a Border Crisis. It's a Climate Crisis.	https://www.politico.com/news/magazine/2021/07/19/guatemala-immigration-climate-change-499281	Politico	43.35	-7.19	23,750,000	Left-Center	16.0	July 19, 2021	True	-4.0304				
Fires in Oregon, California Grow as Heat Wave Continues in Parts of West	https://www.wsj.com/articles/fires-in-oregon-california-grow-as-heat-wave-continues-in-parts-of-west-11626705287	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	17.0	July 19, 2021	True	LOWDATA				
In the fracturing American economy, any house can inspire a bidding war	https://www.washingtonpost.com/nation/2021/07/18/idaho-housing-market/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	18.0	July 19, 2021	True	-4.522298				
How Delta is pushing the U.S. into a new phase of the Covid-19 pandemic	https://www.statnews.com/2021/07/19/delta-vaccines-new-phase-pandemic/	STAT	44.86	-2.7		Left-Center	19.0	July 19, 2021	True	-0.853213				
Canada to reopen its border for fully vaccinated Americans starting Aug. 9; U.S. uncertain	https://www.bellinghamherald.com/news/nation-world/national/article252880638.html	The Bellingham Herald				Left-Center	20.0	July 19, 2021	True	UNK				
Biden recasts criticism of Facebook over vaccine misinformation	https://www.politico.com/news/2021/07/19/biden-facebook-vaccine-misinformation-500148	Politico	43.35	-7.19	23,750,000	Left-Center	21.0	July 19, 2021	True	1.194512				
US blames China for hacks, opening new front in cyber offensive	https://www.cnn.com/2021/07/19/politics/us-china-cyber-offensive/index.html	CNN	43.77	-8.78	79,900,000	Left	22.0	July 19, 2021	True	1.00047				
Florida man gets 9 months in prison in 1st felony sentence from Capitol riot	https://www.nbcnews.com/politics/justice-department/florida-man-gets-1st-felony-sentence-role-capitol-riot-n1274353	NBC News	45.81	-7.46	26,225,000	Left Center	23.0	July 19, 2021	True	0.291862				
Dow Falls More Than 700 Points in Worst Day Since October	https://www.wsj.com/articles/global-stock-markets-dow-update-07-19-2021-11626680342	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	24.0	July 19, 2021	True	LOWDATA				
Alternate on US women's gymnastics team tests positive for COVID-19	https://www.usatoday.com/story/sports/olympics/2021/07/19/us-womens-gymnastics-team-alternate-tests-positive-covid-19/8010523002/	USA Today	45.77	-4.12	44,075,000	Left-Center	25.0	July 19, 2021	True	-0.641391				
Haiti's acting prime minister Claude Joseph says he will step down amid leadership dispute	https://www.washingtonpost.com/world/2021/07/19/haiti-claude-joseph-ariel-henry/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	26.0	July 19, 2021	True	-7.377855				
U.S. Attorney General issues broad ban against seizing media records	https://www.reuters.com/business/media-telecom/us-attorney-general-issues-broad-ban-against-seizing-media-records-2021-07-19/	Reuters	49.3	-1.65	40,574,000	Neutral	27.0	July 19, 2021	True	-1.347677				
To Flee, or to Stay Until the End and Be Swallowed by the Sea	https://insideclimatenews.org/news/18072021/to-flee-or-to-stay-until-the-end-and-be-swallowed-by-the-sea/	Inside Climate News				Left-Center	28.0	July 19, 2021	True	-10.822922				
Biden Administration Blames Hackers Tied to China for Microsoft Cyberattack Spree	https://www.wsj.com/articles/biden-administration-to-blame-hackers-tied-to-china-for-microsoft-cyberattack-spree-11626692401	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	29.0	July 19, 2021	True	LOWDATA				
Statistics show the stark risks of not getting vaccinated against COVID-19	https://abcnews.go.com/Health/statistics-show-risks-vaccinated-covid-19/story?id=78845627	ABC News				Left-Center	30.0	July 19, 2021	True	0.59085				
										ERROR				
Bucks finish off Suns for first NBA championship in 50 years behind Giannis Antetokounmpo's epic closeout performance	https://sports.yahoo.com/bucks-finish-off-suns-first-034424913.html	USA Today	45.77	-4.12	44,075,000	Left-Center	1.0	July 20, 2021	True	5.452224				
USWNT kicks off Olympics run vs. Sweden: Preview, start time, how to watch	https://www.nbcolympics.com/news/uswnt-kicks-olympics-run-vs-sweden-preview-start-time-how-watch	NBC Sports				Left-Center	2.0	July 20, 2021	True	2.668732				
Western wildfire smoke causes cross-country air pollution	https://www.reuters.com/world/us/smoke-us-west-wildfires-leaves-easterners-gasping-2021-07-20/	Reuters	49.3	-1.65	40,574,000	Neutral	3.0	July 20, 2021	True	-1.672413				
Giannis Antetokounmpo scores 50 points in Game 6 of NBA Finals, Milwaukee Bucks win club's 1st NBA title since 1971\n	https://www.espn.com/nba/story/_/id/31851979/giannis-antetokounmpo-scores-50-points-game-6-nba-finals-milwaukee-bucks-win-club-1st-nba-title-1971	ESPN				Left-Center	4.0	July 20, 2021	True	0.930901				
Trump adviser Tom Barrack arrested on foreign-agent charges	https://www.politico.com/news/2021/07/20/tom-barrack-arrested-foreign-agent-charges-500333	Politico	43.35	-7.19	23,750,000	Left-Center	5.0	July 20, 2021	True	-2.599061				
Local health authorities seek to curb Delta variant without new rules	https://www.wsj.com/articles/local-health-authorities-seek-to-curb-delta-variant-without-new-rules-11626826692	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	6.0	July 20, 2021	True	LOWDATA				
Biden's bipartisan infrastructure bill hits snag as GOP pushes to delay vote	https://www.usatoday.com/story/news/politics/2021/07/20/senate-vote-bipartisan-infrastructure/8024598002/	USA Today	45.77	-4.12	44,075,000	Left-Center	7.0	July 20, 2021	True	2.582486				
Trump ally tried to use influence to help UAE, prosecutors allege	https://www.washingtonpost.com/politics/thomas-barrack-indictment-trump/2021/07/20/d40b64f0-e985-11eb-84a2-d93bc0b50294_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	8.0	July 20, 2021	True	-2.593395				
The Bootleg Fire in Oregon is so large, it's creating its own weather	https://www.wfft.com/content/news/574883902.html	CNN	43.77	-8.78	79,900,000	Left	9.0	July 20, 2021	True	LOWDATA				
COVID Warnings From Washington Rise With The Uptick In Cases Around The Country	https://www.npr.org/2021/07/20/1018511894/covid-warnings-from-washington-rise-with-the-uptick-in-cases-around-the-country	NPR	46.41	-5.24	38,240,000	Left-Center	10.0	July 20, 2021	True	-0.479433				
Olympic softball: Meet the six teams going for gold	https://onherturf.nbcsports.com/2021/07/20/meet-the-teams-going-for-gold-2020-olympic-softball-tournament/	NBC Sports				Left-Center	11.0	July 20, 2021	True	3.821908				
Nothing short of historic.' Congress holds first hearing after Cuba protests	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article252901058.html	Miami Herald	46.7	-3.86		Left-Center	12.0	July 20, 2021	True	UNK				
Trump Ally Tom Barrack Is Charged With Acting as U.A.E. Foreign Agent	https://www.wsj.com/articles/tom-barrack-charged-with-acting-as-a-foreign-agent-for-the-uae-11626807733	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	13.0	July 20, 2021	True	LOWDATA				
Extreme fire behavior has erupted in the West. Here's what that means.	https://www.washingtonpost.com/weather/2021/07/20/extreme-fire-behavior-west/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	14.0	July 20, 2021	True	-1.378511				
Senate infrastructure talks may stretch into next week as failed vote looms	https://www.politico.com/news/2021/07/20/senate-infrastructure-vote-500282	Politico	43.35	-7.19	23,750,000	Left-Center	15.0	July 20, 2021	True	-1.460322				
India's excess deaths during Covid 'could be 10 times official toll'	https://www.theguardian.com/world/2021/jul/20/india-excess-deaths-during-covid-could-be-10-times-official-toll	The Guardian	44.42	-9.93	88,750,000	Left-Center	16.0	July 20, 2021	True	-2.61727				
We lost': Some U.S. veterans say blood spilled in Afghanistan was wasted	https://www.reuters.com/world/asia-pacific/we-lost-some-us-veterans-say-blood-spilled-afghanistan-was-wasted-2021-07-20/	Reuters	49.3	-1.65	40,574,000	Neutral	17.0	July 20, 2021	True	2.05771				
Don't be fooled into letting your guard down against Covid, US Surgeon General says	https://www.cnn.com/2021/07/20/health/us-coronavirus-tuesday/index.html	CNN	43.77	-8.78	79,900,000	Left	18.0	July 20, 2021	True	-1.95728				
Why a new law requiring Asian American history in schools is so significant	https://www.vox.com/2021/7/20/22576138/asian-american-history-illinois-law	Vox	39.97	-11.26	13,948,400	Left	19.0	July 20, 2021	True	-20.290243				
Massive Bootleg Fire burns in Oregon as officials seek outside help; smoke seen as far as New York	https://www.usatoday.com/story/news/nation/2021/07/20/bootleg-fire-oregon-wildfire-burns-dixie-fire-ongoing-california/8025601002/	USA Today	45.77	-4.12	44,075,000	Left-Center	20.0	July 20, 2021	True	0.76651				
Staffers in White House, Pelosi's office test positive for coronavirus	https://thehill.com/homenews/administration/563879-staffers-in-white-house-pelosis-office-test-positive-for-coronavirus	The Hill	44.99	-0.38	24,400,000	Neutral	21.0	July 20, 2021	True	1.718779				
The 2021 Olympics Are Turning Into a $20 Billion Bust for Japan	https://www.wsj.com/articles/the-2021-olympics-are-turning-into-a-20-billion-bust-for-japan-11626790720	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	22.0	July 20, 2021	True	LOWDATA				
Blue Origin successfully sends Jeff Bezos and three others to space and back	https://www.theverge.com/2021/7/20/22582735/blue-origin-jeff-bezos-space-launch-landing	The Verge	44.07	-4.77	17,217,400	Left-Center	23.0	July 20, 2021	True	-0.623194				
Delta variant surges to 83% of sequences Covid-19 cases in the U.S., CDC says	https://www.statnews.com/2021/07/20/delta-variant-surges-to-83-of-sequenced-covid-19-cases-in-the-u-s-cdc-says/	STAT	44.86	-2.7		Left-Center	24.0	July 20, 2021	True	-0.493527				
Wildfires in the West balloon in size amid heat and drought, prompting evacuations	https://pages.facebook.com/Readywise/	Axios	46.38	-4.45	3,613,000	Left-Center	25.0	July 20, 2021	True	-2.039073				
States are sitting on millions of surplus Covid-19 vaccine doses as expiration dates approach	https://www.statnews.com/2021/07/20/states-are-sitting-on-millions-of-surplus-covid-19-vaccine-doses-as-expiration-dates-approach/	STAT	44.86	-2.7		Left-Center	26.0	July 20, 2021	True	-0.9044				
Unlikely Senate alliance aims to claw back Congress' foreign policy powers 'before it's too late'	https://www.politico.com/news/2021/07/20/bipartisan-senators-congress-war-powers-500214	Politico	43.35	-7.19	23,750,000	Left-Center	27.0	July 20, 2021	True	-0.744481				
This deaf-blind Paralympian was told to navigate Tokyo alone. So she quit Team USA.	https://scoop.upworthy.com/deaf-blind-paralympian-becca-meyers-quits-team-usa-tokyo-paralympics-covid-restrictions	The Washington Post	44.05	-7.42	76,195,000	Left-Center	28.0	July 20, 2021	True	-3.647265				
Blue Origin launch recap: Jeff Bezos soars to the edge of space	https://abcnews.go.com/Technology/live-updates/jeff-bezos-blue-origin-space-flight/?id=78924646	ABC News	47.28	-4.9	39,500,000	Left-Center	29.0	July 20, 2021	True	0.29503				
Still looking for answers': South Africa reels from deadly riots	https://www.aljazeera.com/news/2021/7/19/still-looking-for-answers-south-africa-reels-from-deadly-riots	Aljazeera				Left-Center	30.0	July 20, 2021	True	0.330887				
										ERROR				
										ERROR				
Olympics-Opening ceremony director fired on Tokyo Games eve over Holocaust joke	https://www.reuters.com/lifestyle/sports/japan-former-pm-abe-will-not-attend-games-opening-ceremony-nhk-2021-07-22/	Reuters	49.3	-1.65	40,574,000	Neutral	1.0	July 21, 2021	True	0.496568				
Smoke from California's wildfires could contain dangerous levels of  toxic metals, new research shows	https://www.sfchronicle.com/bayarea/article/Wildfire-smoke-is-more-harmful-than-previously-16328262.php	San Francisco Chronicle				Left-Center	2.0	July 21, 2021	True	-5.480731				
What Vaccinated People Should Really Know About the Delta Variant's Threat to Them	https://slate.com/technology/2021/07/covid-delta-variant-risk-vaccinated-breakthrough-cases.html	Slate				Left 	3.0	July 21, 2021	True	-6.119369				
US extends Covic-19 travel restrictions with Canada and Mexico through August 21	https://www.cnn.com/2021/07/21/politics/us-canada-mexico-travel/index.html#:~:text=(CNN)%20The%20Biden%20administration%20is,restrictions%20on%20a%20monthly%20basis.	CNN	43.77	-8.78	79,900,000	Left	4.0	July 21, 2021	True	0.940495				
Biden pleads with unvaccinated Americans to be inoculated as virus surges	https://www.washingtonpost.com/politics/biden-pleads-with-unvaccinated-americans-to-be-inoculated-as-virus-spikes/2021/07/21/275c19dc-ea3b-11eb-ba5d-55d3b5ffcaf1_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	5.0	July 21, 2021	True	-1.34606				
Authorities in Cuba begin to punish young protesters in summary trials	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article252929748.html	Miami Herald	46.7	-3.86		Left-Center	6.0	July 21, 2021	True	UNK				
States reach $26 billion deal with three wholesalers and J&J to end opiod lawsuits	https://www.statnews.com/pharmalot/2021/07/21/opioid-settlement-johnson-and-johnson-mckesson/	STAT	44.86	-2.7		Left-Center	7.0	July 21, 2021	True	-2.282157				
Republicans block debate on indrastructure bill, but final deal could solidify within days	https://www.washingtonpost.com/politics/infrastructure-schumer-gop/2021/07/21/0812be02-ea34-11eb-8950-d73b3e93ff7f_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	8.0	July 21, 2021	True	-1.793811				
States anounch $26 Billion Settlement to Resolve Opioid Lawsuits	https://www.wsj.com/articles/states-announce-26-billion-settlement-to-resolve-opioid-lawsuits-11626890613	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	9.0	July 21, 2021	True	LOWDATA				
Heat waves are dangerous. Isolation and inequality make them deadly.	https://www.washingtonpost.com/climate-environment/2021/07/21/heat-wave-death-portland/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10.0	July 21, 2021	True	-7.135752				
Infrastructure bill blocked by Senate Republicans as lawmakers haggle over details	https://www.usatoday.com/story/news/politics/2021/07/21/senate-vote-infrastructure-bipartisan-negotiations/8038813002/	USA Today	45.77	-4.12	44,075,000	Left-Center	11.0	July 21, 2021	True	3.412351				
Companies in Main will now have to pay to help fix the broken recycling system	https://www.fastcompany.com/90655072/maine-companies-will-now-have-to-pay-to-help-fix-the-broken-recycling-system?utm_source=postup&utm_medium=email&utm_campaign=world-changing-ideas&position=6&partner=newsletter&campaign_date=07162021	Fast Company				Left-Center	12.0	July 21, 2021	False	-4.492119				
McCarthy pulls five Republicans from Capitol attack panel after Pelosi rejects two	https://www.theguardian.com/us-news/2021/jul/21/nancy-pelosi-capitol-attack-committee-republicans	The Guardian	44.42	-9.93	88,750,000	Left-Center	13.0	July 21, 2021	True	-4.643545				
GOP blocks infrastructure debate as negotiators near deal	https://thehill.com/homenews/senate/564165-gop-blocks-infrastructure-debate-as-negotiators-near-deal	The Hill	44.99	-0.38	24,400,000	Neutral	14.0	July 21, 2021	True	0.647264				
Republicans abandon Capitol riot probe after Pelosi rejects Jordan, Banks	https://www.reuters.com/world/us/pelosi-blocks-house-republicans-jordan-banks-serving-jan-6-panel-2021-07-21/	Reuters	49.3	-1.65	40,574,000	Neutral	15.0	July 21, 2021	True	-0.945293				
4 drug companies agree to pay $26 billion to resolve opioid lawsuits	https://www.nbcnews.com/news/us-news/4-companies-near-26-billion-settlement-resolve-opioid-lawsuits-n1274520	NBC News	45.81	-7.46	26,225,000	Left Center	16.0	July 21, 2021	True	-0.94974				
McCarthy says Republicans will pull out of Jan. 6 committee unless Pelosi reverses decision	https://www.reuters.com/world/us/mccarthy-says-republicans-will-pull-out-jan-6-committee-unless-pelosi-reverses-2021-07-21/	Reuters	49.3	-1.65	40,574,000	Neutral	17.0	July 21, 2021	True	0.984768				
For unvaccinated, coronavirus is soaring again	https://www.washingtonpost.com/health/interactive/2021/unvaccinated-case-rate-delta-surge/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	18.0	July 21, 2021	True	-4.576913				
California couple whose gender-reveal party sparked a wildfire charged with 30 crimes	https://www.theguardian.com/us-news/2021/jul/21/couple-gender-reveal-party-wildfire-charged	The Guardian	44.42	-9.93	88,750,000	Left-Center	19.0	July 21, 2021	True	-4.948278				
McCarthy pulls his 5 GOP members from 1/6 committee after Pelosi rejects 2 of his picks	https://www.cnn.com/2021/07/21/politics/nancy-pelosi-rejects-republicans-from-committee/index.html	CNN	43.77	-8.78	79,900,000	Left	20.0	July 21, 2021	True	-2.880436				
Infrastructure vote fails as senators try to salvage bipartisan deal	https://www.politico.com/news/2021/07/21/congress-bipartisan-infrastructure-deal-500408	Politico	43.35	-7.19	23,750,000	Left-Center	21.0	July 21, 2021	True	0.008543				
Thick smoke from Western wildfires is traveling thousands of miles, clouding NYC skies	https://www.usatoday.com/story/news/nation/2021/07/21/wildfire-smoke-cause-poor-air-quality-index-red-sun-nyc/8038354002/	USA Today	45.77	-4.12	44,075,000	Left-Center	22.0	July 21, 2021	True	-0.696498				
Olympians Had to Train During a Pandemic. These Are Their Weirdest Stories.	https://www.wsj.com/articles/olympians-weird-training-pandemic-tokyo-11626838213	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	23.0	July 21, 2021	True	LOWDATA				
Covid-19 Takes Dramatic Toll on U.S. Life Expectancy	https://www.bloomberg.com/news/articles/2021-07-21/covid-19-takes-dramatic-toll-on-u-s-life-expectancy#:~:text=The%20U.S.%20has%20recorded%20a,1.5%20years%2C%20to%2077.3%20years.	Bloomberg	45.76	-3.04	26,673,500	Left-Center	24.0	July 21, 2021	True	CONSENT				
Biden's Bipartisan Infrastructure Package Fails A Test Vote In The Senate	https://www.npr.org/2021/07/21/1018278440/bipartisan-infrastructure-package-faces-1st-test-vote-in-senate	NPR	46.41	-5.24	38,240,000	Left-Center	25.0	July 21, 2021	True	0.210202				
Giannis Antetokounmpo scores 50 points in Game 6 of NBA Finals, Milwaukee Bucks win club's 1st NBA title since 1971	https://www.espn.com/nba/story/_/id/31851979/giannis-antetokounmpo-scores-50-points-game-6-nba-finals-milwaukee-bucks-win-club-1st-nba-title-1971	ESPN				Left-Center	26.0	July 21, 2021	False	0.930901				
At least 25 dead as rains deluge central China's Henan providence	https://www.reuters.com/world/china/heavy-rainfall-kills-12-central-chinas-henan-provincial-capital-xinhua-2021-07-20/#:~:text=At%20least%2025%20dead%20as%20rains%20deluge%20central%20China's%20Henan%20province,-Ryan%20WooStella%20Qiu&text=BEIJING%2C%20July%2021%20(Reuters),are%20forecast%20for%20the%20region.	Reuters	49.3	-1.65	40,574,000	Neutral	27.0	July 21, 2021	False	-0.668238				
U.S. women thrashed by Sweden in stunning Olympic defeat	https://www.nbcolympics.com/news/us-women-thrashed-sweden-stunning-olympic-defeat	NBC Sports				Left-Center	28.0	July 21, 2021	True	5.136828				
Going furthur than CDC, pediatricians group recommends masks in schools even for the vaccinated	https://www.washingtonpost.com/health/2021/07/19/aap-mask-schools-vaccination/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	29.0	July 21, 2021	False	-3.6104				
U.S. women's soccer team stunned by Sweden in opener	https://www.nbcnews.com/news/olympics/u-s-women-s-soccer-team-falls-sweden-olympic-opener-n1274581	NBC News	45.81	-7.46	26,225,000	Left Center	30.0	July 21, 2021	True	-1.449307				
										ERROR				
Is Cuba's communist party finally losing its hold on the country?	https://www.newyorker.com/news/daily-comment/is-cubas-communist-party-finally-losing-its-hold-on-the-country	The New Yorker	40.13	-13.3	19,425,000	Left	1.0	July 22, 2021	True	-9.521557				
They lost loved ones to gun violence. Then their grief was politicized	https://www.theguardian.com/us-news/2021/jul/22/gun-violence-families-defund-police-movement	The Guardian	44.42	-9.93	88,750,000	Left-Center	2.0	July 22, 2021	True	-7.088601				
Extreme heat triggers mass die-offs and stress for wildlife in the West	https://www.nationalgeographic.com/animals/article/extreme-heat-triggers-mass-die-offs-and-stress-for-wildlife-in-the-west#:~:text=News-,Extreme%20heat%20triggers%20mass%20die%2Doffs%20and%20stress%20for%20wildlife,crisis%20to%20the%20Pacific%20Northwest.	National Geographic	46.11	-2.58		Pro-Science	3.0	July 22, 2021	True	-2.815893				
We’re Zeroing In On the ‘Holy Grail’ of COVID-19 Immunity	https://www.theatlantic.com/science/archive/2021/07/correlates-of-protection-vaccine-immunity/619508/	The Atlantic	40.14	-9.52	16,075,000	Left-Center	4.0	July 22, 2021	False	-2.504359				
Public Health Experts Call On CDC To Change Its Mask Guidance	https://www.npr.org/sections/health-shots/2021/07/22/1019311989/public-health-experts-call-on-cdc-to-endorse-masking-indoors	NPR	46.41	-5.24	38,240,000	Left-Center	5.0	July 22, 2021	True	-1.375181				
Striking To End 'Suicide Shifts,' Frito-Lay Workers Ask People To Drop The Doritos	https://www.npr.org/2021/07/21/1018634768/frito-lay-workers-are-in-the-third-week-of-a-strike-over-wages-and-working-condi	NPR	46.41	-5.24	38,240,000	Left-Center	6.0	July 22, 2021	False	-2.611232				
CDC warns this is pivotal moment in fight against delta variant	https://www.washingtonpost.com/health/2021/07/22/walensky-pivotal-moment-delta-variant/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	7.0	July 22, 2021	True	-3.277595				
Wildfires have erupted across the globe, scorching places that rarely burned before	https://www.cnn.com/2021/07/22/world/wildfires-siberia-us-canada-climate-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	8.0	July 22, 2021	True	-5.448563				
2 wounded in Washington, D.C., shooting near restaurants	https://www.cbsnews.com/news/washington-dc-shooting-latest-updates-2-wounded/	CBS News	48.04	-3.14	24,400,000	Left-Center	9.0	July 22, 2021	True	1.564759				
House passes bill to streamline visa process for Afghans who helped US	https://thehill.com/policy/defense/564306-house-passes-bill-to-streamline-visa-process-for-afghans-who-helped-us	The Hill	44.99	-0.38	24,400,000	Neutral	10.0	July 22, 2021	True	1.9219				
Mississippi asks Supreme Court to overturn Roe v. Wade	https://www.politico.com/news/2021/07/22/mississippi-supreme-court-roe-v-wade-abortion-500618	Politico	43.35	-7.19	23,750,000	Left-Center	11.0	July 22, 2021	True	8.265846				
Caught Between U.S. Policies and Instability at Home, Haitian Migrants in Tijuana Are in a State of Limbo	https://time.com/6080579/haitian-migrants-tijuana-us-policy/	TIME	44.02	-9.68	38,825,000	Left-Center	12.0	July 22, 2021	True	-6.764588				
The common cold was rare during 2020 — but it’s having a resurgence	https://www.theverge.com/2021/7/22/22588448/flu-cold-covid-resurgence-season	The Verge	44.07	-4.77	17,217,400	Left-Center	13.0	July 22, 2021	True	-1.362058				
White House boosts funding for Covid tests as infections continue to surge	https://www.nbcnews.com/politics/politics-news/white-house-boosts-funding-covid-tests-infections-continue-surge-n1274677	NBC News	45.81	-7.46	26,225,000	Left-Center	14.0	July 22, 2021	True	0.278984				
‘Nowhere is safe’: heat shatters vision of Pacific north-west as climate refuge	https://www.theguardian.com/us-news/2021/jul/21/pacific-northwest-heatwave-dome-climate-change	The Guardian	44.42	-9.93	88,750,000	Left-Center	15.0	July 22, 2021	True	-8.366778				
Mississippi asks Supreme Court to overturn Roe v. Wade in upcoming case	https://www.washingtonpost.com/politics/courts_law/mississippi-abortion-supreme-court-roe-v-wade/2021/07/22/9b30cb8a-eb23-11eb-97a0-a09d10181e36_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	16.0	July 22, 2021	True	-1.97307				
Biden condemns crackdown on protesters, orders sanctions against head of Cuban military	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article252953303.html	Miami Herald	46.7	-3.86		Left-Center	17.0	July 22, 2021	True	UNK				
You Adopted A Pandemic Pet. Now You're Going Back To The Office. What Next?	https://www.npr.org/2021/07/22/1016522446/you-adopted-a-pandemic-pet-now-youre-going-back-to-the-office-what-next	NPR	46.41	-5.24	38,240,000	Left-Center	18.0	July 22, 2021	True	-3.707159				
U.S. sanctions Cuban officials over crackdown on protests as Biden warns: 'This is just the beginning'	https://www.cnbc.com/2021/07/22/us-sanctions-cuban-defense-minister-special-forces-over-crackdown-on-protests.html	CNBC	45.45	-2.05	27,050,000	Left-Center	19.0	July 22, 2021	True					
"COVID cases are surging, and it's not because of ""breakthrough"" infections"	https://www.axios.com/covid-pandemic-cases-unvaccinated-vaccines-3d5ac3b0-78fb-473b-ae0b-0f8382d0501b.html	AXIOS	46.38	-4.45	3,613,000	Left-Center	20.0	July 22, 2021	True	-3.936775				
