Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?	Bipartisan Press Bias	Unnamed: 10	Factual Reporting	Unnamed: 12	(probably not needed)
After vaccination burnout, delta variant spurs countries to speed up shots	https://www.reuters.com/business/healthcare-pharmaceuticals/after-vaccination-burnout-delta-variant-spurs-countries-speed-up-shots-2021-07-13/	Reuters	49.3	-1.65	40,574,000	Neutral	3.0	July 13, 2021	True	0.543369		High		
more than 70 killed in South Africa protests after former leader Jacob Zuma	https://www.cnn.com/2021/07/13/africa/south-africa-violence-protests-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	4.0	July 13, 2021	True	-2.599139		Mixed		
American league rolls to eight straight all-star game win, vladamir guerrero wins MVP	https://sports.yahoo.com/mlb-all-star-game-denver-american-league-wins-mvp-032028478.html	Yahoo Sports	42.71	-6.6		Left-Center	5.0	July 13, 2021	True	1.366438		Mixed		
the engineer who turned an xbox cheat into bitcoin millions	https://www.bloomberg.com/features/2021-microsoft-xbox-gift-card-fraud/	Bloomberg Businessweek				Left-Center	6.0	July 13, 2021	True	CONSENT		Mostly Factual		
Senate democrats agree to $3.5 trillion tax, spending plan	https://www.bloomberg.com/news/articles/2021-07-14/senate-democrats-agree-to-3-5-trillion-tax-spending-bill	Bloomberg	45.76	-3.04	26,673,500	Left-Center	7.0	July 13, 2021	True	CONSENT		Mostly Factual		
Biden calls passing voting legislation 'a national imperative' and castigates voting restrictions	https://www.washingtonpost.com/politics/biden-voting-speech/2021/07/13/afd91f7a-e3d9-11eb-8aa5-5662858b696e_story.html	the Washington Post	44.05	-7.42	76,195,000	Left-Center	8.0	July 13, 2021	True	-11.041882		Mostly Factual		
Wildfires rage across parched wester US as smoke chokes the sky	https://www.accuweather.com/en/weather-forecasts/wildfires-burn-across-western-us-heat-wave/980304	AccuWeather				Unknown	9.0	July 13, 2021	True	1.225962		Unknown		
Texas senate passes GOP voting, bail bills despite House Democrats' walkout	https://www.texastribune.org/2021/07/13/voting-bill-texas-senate/	The Texas Tribune	45.9	-4.27		Left-Center	10.0	July 13, 2021	True	-7.514656		High		
Cuba protests: one man killed and more than 100 missing in historic unrest	https://www.theguardian.com/world/2021/jul/13/cuba-protests-activists-journalists-protesters-detained	The Guardian	44.42	-9.93	88,750,000	Left-Center	11.0	July 13, 2021	True	-11.301271		Mixed		
Senate democrats agree to $3.5 trillion healthcare and antipoverty plan	https://www.wsj.com/articles/infrastructure-deals-revenue-hopes-raise-gop-concerns-11626216975	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	12.0	July 13, 2021	True	LOWDATA		Mostly Factual		
Inflation accelerates again in June as economic recovery continues	https://www.wsj.com/articles/us-inflation-consumer-price-index-june-2021-11626125947	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	13.0	July 13, 2021	True	LOWDATA		Mostly Factual		
Four Iranians charged with plotting to kidnap author living in Brooklyn	https://www.nbcnews.com/news/us-news/four-iranians-charged-plotting-kidnap-author-living-brooklyn-n1273890	NBC news	45.81	-7.46	26,225,000	Left-Center	14.0	July 13, 2021	True	-1.832332		High		
COVID cases in parts of missouri and arkansas surge to levels not seen since winter	https://www.npr.org/2021/07/13/1015581093/covid-cases-in-parts-of-missouri-and-arkansas-surge-to-levels-not-seen-since-win	NPR	46.41	-5.24	38,240,000	Left-Center	15.0	July 13, 2021	True	-1.136774		Very High		
Texas democrats heap pressure on Biden, congress for voting rights action	https://www.cnn.com/2021/07/13/politics/texas-house-democrats-buying-time/index.html	CNN	43.77	-8.78	79,900,000	Left	16.0	July 13, 2021	True	-5.708472		Mixed		
West on fire, east under water as climate change fuels extremes	https://www.nbcnews.com/news/weather/west-catches-fire-while-east-goes-under-water-climate-change-n1273815	NBC news	45.81	-7.46	26,225,000	Left-Center	17.0	July 13, 2021	True	-3.149686		High		
Haitians apprehensive of foreign troops as government seeks US help	https://www.reuters.com/world/americas/haitians-apprehensive-foreign-troops-government-seeks-us-help-2021-07-13/	Reuters	49.3	-1.65	40,574,000	Neutral	18.0	July 13, 2021	True	-6.001321		High		
Texas senate passes voting bill, as democratic rivals push federal bill	https://www.wsj.com/articles/texas-senate-expected-to-take-up-vote-on-election-legislation-11626176054	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	19.0	July 13, 2021	True	LOWDATA		Mostly Factual		
2021 emmy awards nominations: the crown, ted lasso and wanda vision lead	https://www.yahoo.com/news/2021-emmy-awards-nominations-complete-153017342.html	People				Left	20.0	July 13, 2021	True	0.929599		High		
"Biden denounces ""21st century jim crow assault"" on voting access"	https://www.cbsnews.com/news/biden-voting-rights-speech-watch-live-today-2021-07-13/	CBS News	48.04	-3.14	24,400,000	Left-Center	21.0	July 13, 2021	True	-4.92798		High		
Emmys: Disney leads all combined nominations as HBO tops netflix	https://www.hollywoodreporter.com/tv/tv-news/emmy-nominations-by-series-network-2021-1234981275/	Hollywood Reporter				Left-Center	22.0	July 13, 2021	True	2.668294		High		
How we'll know when the COVID-19 crisis is over	https://www.npr.org/2021/07/10/1014374383/covid-19-coronavirus-pandemic-when-its-over	NPR	46.41	-5.24	38,240,000	Left-Center	23.0	July 13, 2021	True	-1.728793		Very High		
Your evil revolution: how a reggaeton anthem inspired cuba protests	https://www.nationalgeographic.com/history/article/cuba-protests	National Geographic	46.11	-2.58		Pro-Science	24.0	July 13, 2021	False	-6.452963		High		
Recovery operation moves toward completion at Florida condo collapse, 95 dead	https://www.cnbc.com/2021/07/13/recovery-operation-moves-toward-completion-at-florida-condo-collapse.html	CNBC	45.45	-2.05	27,050,000	Left-Center	25.0	July 13, 2021	True	0.215148		Mostly Factual		
Texas governor says Democratic lawmakers who left state to stop voting law could face arrest	https://www.washingtonpost.com/politics/texas-democrats-voting-restrictions/2021/07/12/99d35154-e326-11eb-8aa5-5662858b696e_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	26.0	July 13, 2021	True	-6.876215		Mostly Factual		
