Top Stories	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?		Factual Reporting		(probably not needed)
Oregon communities struggle to hold off the Bootleg fire, the largest blaze in the U.S.	https://www.latimes.com/world-nation/story/2021-07-23/oregon-communities-struggle-to-control-the-bootleg-fire-now-the-largest-in-the-u-s	Los Angeles Times				Left-Center	29	July 24, 2021	TRUE				
Photos: Highlights Of The Tokyo Summer Olympics Opening Ceremony	https://www.npr.org/sections/pictureshow/2021/07/23/1019656439/photos-tokyo-summer-olympics-games-opening-ceremony-tonga-pita	NPR	46.41	-5.24	38,240,000	Left-Center	30	July 24, 2021	FALSE				
													
The Delta Variant Upends the World’s Pandemic Response	https://www.wsj.com/articles/thedeltavariant-upends-the-worlds-pandemic-response-11627225200	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	1	July 25, 2021	TRUE				
Summer Olympics 2021: What to Watch for on Day 3 in Tokyo	https://bleacherreport.com/articles/2946324-summer-olympics-2021-what-to-watch-for-on-day-3-in-tokyo	Bleacher Report				Left-Center	2	July 25, 2021	TRUE				
Devastating': Dixie Fire, California's largest wildfire, devours multiple homes	https://www.sfgate.com/california-wildfires/article/Dixie-Fire-Indian-Falls-California-wildfire-16338301.php	SF Gate	46.06	-1.52	8,684,700	Left-Center	3	July 25, 2021	TRUE				
Bob Moses, 1960s civil rights leader who saw math as road to eqality, dies at 86	https://www.washingtonpost.com/local/obituaries/bob-moses-dead/2021/07/25/0d2ae144-c3a2-11e5-a4aa-f25866ba0dc6_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4	July 25, 2021	TRUE				
At 101, judo coaching great Yosh Uchida still isn’t done helping Olympians	https://www.latimes.com/sports/olympics/story/2021-07-25/judo-coaching-great-yosh-uchida-tokyo-olympics	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	5	July 25, 2021	TRUE				
Pelosi taps Kinzinger to serve on Jan. 6 panel	https://thehill.com/homenews/house/564716-pelosi-taps-kinzinger-to-serve-on-jan-6-probe	The Hill	44.99	-0.38	24,400,000	Neutral	6	July 25, 2021	TRUE				
In Alabama and Louisiana, partisan opposition to vaccine surges alongside Delta variant	https://www.politico.com/news/2021/07/24/covid-vaccine-push-rural-500717	Politico	43.35	-7.19	23,750,000	Left-Center	7	July 25, 2021	FALSE				
California's largest wildfire forces evacuations amid rapid spread	https://abcnews.go.com/US/dixie-fire-californias-largest-forces-evacuations-amid-rapid/story?id=79047274	ABC News	47.28	-4.9	39,500,000	Left-Center	8	July 25, 2021	TRUE				
Robert Moses, influential civil rights figure and FIU professor, dead at 86	https://www.miamiherald.com/news/local/obituaries/article253011433.html	Miami Herald	46.7	-3.86		Left-Center	9	July 25, 2021	TRUE				
U.S. men's basketball stunned by Fournier, France in opener	https://www.nbcolympics.com/news/us-mens-basketball-stunned-fournier-france-opener	NBC Sports	45.81	-7.46	26,225,000	Left-Center	10	July 25, 2021	TRUE				
U.S offers further air support to Afghan troops amid Taliban offensive	https://www.reuters.com/world/asia-pacific/us-offers-further-air-support-afghan-troops-amid-taliban-offensive-2021-07-25/	Reuters	49.3	-1.65	40,574,000	Neutral	11	July 25, 2021	TRUE				
Wildfires rage in the West, destroy homes in small California community	https://www.foxnews.com/us/wildfires-destroy-homes-california	FOX News	35.76	14.86	133,150,00	Right	12	July 25, 2021	TRUE				
U.S. House Speaker Pelosi names Republican Kinzinger to Jan. 6 panel	https://www.reuters.com/world/us/us-house-speaker-pelosi-may-invite-republican-kinzinger-onto-jan-6-panel-2021-07-25/	Reuters	49.3	-1.65	40,574,000	Neutral	13	July 25, 2021	TRUE				
What will happen to the Surfside building collapse site?	https://www.cnn.com/2021/07/25/us/surfside-collapse-site-future-memorial/index.html	CNN	43.77	-8.78	79,900,000	Left	14	July 25, 2021	TRUE				
Homes destroyed in California as wildfires continue to rage	https://www.nbcnews.com/news/us-news/multiple-homes-destroyed-california-s-dixie-fire-blazes-continue-rage-n1274953	NBC News	45.81	-7.46	26,225,000	Left-Center	15	July 25, 2021	TRUE				
Team USA falls to France at Tokyo Games for first Olympic men's basketball loss since 2004	https://www.espn.com/olympics/story/_/id/31882240/team-usa-falls-france-first-olympic-men-basketball-loss-2004	ESPN				Left-Center	16	July 25, 2021	TRUE				
The Arch Deluxe Was a Hell of a Burger. It Was Also McDonald’s Most Expensive Flop.	https://www.eater.com/22584033/mcdonalds-arch-deluxe-burger-discontinued-marketing-flop-andrew-selvaggio	Eater					17	July 25, 2021	FALSE				
Tokyo Olympics Day 2 Roundup: Expected and unexpected U.S. medals	https://www.nbcolympics.com/news/tokyo-olympics-day-2-roundup-expected-and-unexpected-us-medals	NBC Sports	45.81	-7.46	26,225,000	Left-Center	18	July 25, 2021	TRUE				
The pandemic is 'spiraling out of control' due to unvaccinated people, Trump administration official says	https://www.cnn.com/2021/07/25/health/us-coronavirus-sunday/index.html	CNN	43.77	-8.78	79,900,000	Left	19	July 25, 2021	TRUE				
Montana Wildfire Fight Draws Help From Other States	https://www.npr.org/2021/07/24/1020207430/montana-wildfire-fight-draws-help-from-other-states-as-much-of-the-west-burns	NPR	46.41	-5.24	38,240,000	Left-Center	20	July 25, 2021	TRUE				
Why border patrol is doing more to rescue and identify missing immigrants	https://www.latimes.com/world-nation/story/2021-07-25/why-border-patrol-is-doing-more-to-rescue-and-identify-missing-migrants	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	21	July 25, 2021	TRUE				
The surprising past, unlikely present, and uncertain future of Christmas in July	https://www.vox.com/culture/22577905/christmas-in-july-sale-history-2021-pandemic	Vox	39.97	-11.26	13,948,400	Left	22	July 25, 2021	FALSE				
Amid summer of fire and floods, a moment of truth for climate action	https://www.washingtonpost.com/climate-environment/2021/07/24/amid-summer-fire-floods-moment-truth-climate-action/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	23	July 25, 2021	TRUE				
Four Months Ago They Were Celebrating. Now Texas Doctors Are Once Again Preparing for the Worst.	https://www.texasmonthly.com/news-politics/texas-covid-fourth-wave-delta-variant/	Texas Monthly				Left-Center	24	July 25, 2021	FALSE				
Afghanistan curfew imposed as Taliban militants advance	https://www.bbc.com/news/world-asia-57933364	BBC News	46.44	-2.74	189,750,000	Left-Center	25	July 25, 2021	TRUE				
Jackie Mason, Rabbi Turned Contentious Comedian, Dies at 93	https://www.hollywoodreporter.com/tv/tv-news/jackie-mason-rabbi-turned-contentious-comedian-dies-at-93-1234988070/	The Hollywood Reporter				Left-Center	26	July 25, 2021	FALSE				
As it happened: U.S. wins six medals in first night of swimming finals	https://www.nbcolympics.com/news/swimming-day-2-finals-highlights-live-updates-how-watch	NBC Sports	45.81	-7.46	26,225,000	Left-Center	27	July 25, 2021	FALSE				
Chase Kalisz swims to gold, earns Team USA's first medal in Tokyo	https://www.nbcolympics.com/news/chase-kalisz-swims-gold-earns-team-usas-first-medal-tokyo	NBC Sports	45.81	-7.46	26,225,000	Left-Center	28	July 25, 2021	FALSE				
Rebel' Skateboarding Is Ready For Its Olympic Debut in Tokyo	https://www.npr.org/sections/tokyo-olympics-live-updates/2021/07/24/1020110407/rebel-skateboarding-olympics-debut-tokyo-nyjah-sky-brown-sablone	NPR	46.41	-5.24	38,240,000	Left-Center	29	July 25, 2021	FALSE				
In China, Zhengzhou mops up but other cities prepare for In-fa flood havoc to come	https://www.scmp.com/news/china/politics/article/3142323/china-zhengzhou-mops-other-cities-prepare-fa-flood-havoc-come	South China Morning Post	42.15	-3.63	9,765,000	Left-Center	30	July 25, 2021	FALSE				
													
													
													
Naomi Osaka falls in third round shocker to Marketa Vondrousova	https://www.nbcolympics.com/news/naomi-osaka-falls-third-round-shocker-marketa-vondrousova	NBC Sports	45.81	-7.46	26,225,000	Left-Center	1	July 26, 2021	TRUE				
North and South Korea restore hotline after a year	https://www.bbc.com/news/world-57979937	BBC News	46.44	-2.74	189,750,000	Left-Center	2	July 26, 2021	TRUE				
Extreme weather renews focus on climate change as scientists update forcasts	https://www.reuters.com/business/environment/extreme-weather-renews-focus-climate-change-scientists-update-forecasts-2021-07-26/#:~:text=Extreme%20weather%20renews%20focus%20on%20climate%20change%20as%20scientists%20update%20forecasts,-Andrea%20Januta&text=The%20list%20of%20extremes%20in,heat%20in%20Finland%20and%20Ireland.	Reuters	49.3	-1.65	40,574,000	Neutral	3	July 26, 2021	FALSE				
A tipping point': Government officials, health groups move to require coronavirus vaccine	https://www.washingtonpost.com/health/2021/07/26/mandatory-vaccinations-urged-health-workers/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4	July 26, 2021	TRUE				
USA's Lydia Jacoby wins surprise gold in 100m breaststroke, Lilly King takes bronze	https://www.nbcolympics.com/news/usas-lydia-jacoby-wins-surprise-gold-100m-breaststroke-lilly-king-takes-bronze	NBC Sports	45.81	-7.46	26,225,000	Left-Center	5	July 26, 2021	TRUE				
Shocker in Tokyo: Naomi Osaka upset by Marketa Vondrousova in 3rd round of Olympics	https://sports.yahoo.com/naomi-osaka-marketa-vondrousova-tokyo-olympics-upset-045625307.html	Yahoo Sports	42.71	-6.6		Left-Center	6	July 26, 2021	TRUE				
Severe breakthrough infections remain very rare, despite rising concerns	https://www.nationalgeographic.com/science/article/severe-breakthrough-infections-remain-very-rare-despite-rising-concerns	National Geographic	46.11	-2.58		Pro-Science	7	July 26, 2021	TRUE				
Infrastructure-bill negotiators try to overcome late hurdles	https://www.wsj.com/articles/infrastructure-bill-negotiators-try-to-overcome-late-hurdles-11627332236	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	8	July 26, 2021	TRUE				
Heat wave bringing triple-digit temperatures from the Pacific to the Gulf Coast this week	https://www.cnn.com/2021/07/26/weather/heat-wave-us-plains-forecast-monday/index.html	CNN	43.77	-8.78	79,900,000	Left	9	July 26, 2021	TRUE				
Police identify final missing victim from Surfside condo collapse, which killed 98	https://www.miamiherald.com/news/local/community/miami-dade/miami-beach/article253036578.html	Miami Herald	46.7	-3.86		Left-Center	10	July 26, 2021	TRUE				
U.S. finishes fifth in men's gymnastics team final for third straight Olympics	https://www.nbcsports.com/washington/tokyo-olympics/us-mens-gymnastics-finish-5th-third-straight-olympics	NBC Sports	45.81	-7.46	26,225,000	Left-Center	11	July 26, 2021	TRUE				
What it feels like to win your country's first gold in 100 years	https://www.youtube.com/watch?v=MgGBJrCKdm8	NBC Sports	45.81	-7.46	26,225,000	Left-Center	12	July 26, 2021	TRUE				
Experts warn unvaccinated are greatest threat to pandemic recovery	https://thehill.com/policy/healthcare/564879-experts-warn-unvaccinated-are-greatest-threat-to-pandemic-recovery	The Hill	44.99	-0.38	24,400,000	Neutral	13	July 26, 2021	TRUE				
New Vaccine Mandates Are Coming For Government Employees And Health Care Workers	https://www.npr.org/2021/08/02/1023809875/states-ban-covid-vaccine-mandates	NPR	46.41	-5.24	38,240,000	Left-Center	14	July 26, 2021	TRUE				
High-stakes infrastructure talks stall out as deadline passes	https://www.politico.com/news/2021/07/26/bipartisan-infrastructure-talks-pivotal-week-500735	Politico	43.35	-7.19	23,750,000	Left-Center	15	July 26, 2021	TRUE				
Covid-19 Vaccine Mandates Imposed on Some Government Workers	https://www.wsj.com/articles/new-york-to-require-citys-workers-get-covid-19-vaccine-or-be-tested-weekly-11627306868	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	16	July 26, 2021	TRUE				
Climate Scientists Meet As Flood, Fires, Droughts And Heat Waves Batter Countries	https://www.npr.org/2021/07/26/1019433734/climate-scientists-meet-as-floods-fires-droughts-and-heat-waves-batter-countries	NPR	46.41	-5.24	38,240,000	Left-Center	17	July 26, 2021	TRUE				
Final victim in condo collapse identified as death toll rises to 98	https://www.cbsnews.com/news/surfside-condo-collapse-final-missing-victim-identified-bringing-death-toll-to-98/#:~:text=The%20final%20missing%20victim%20in,month%20after%20the%20deadly%20collapse.	CBS News	48.04	-3.14	24,400,000	Left-Center	18	July 26, 2021	TRUE				
Biden administration says long Covid can be considered a disability under law	https://www.politico.com/news/2021/07/26/biden-administration-long-covid-disability-500739	Politico	43.35	-7.19	23,750,000	Left-Center	19	July 26, 2021	TRUE				
US concludes combat mission in Iraq as Biden meets with Iraqi prime minister	https://abcnews.go.com/Politics/us-concludes-combat-mission-iraq-biden-meets-iraqi/story?id=79067575	ABC News	47.28	-4.9	39,500,000	Left-Center	20	July 26, 2021	TRUE				
Dixie fire scorches nearly 200,000 acres, doubling in size in days	https://www.latimes.com/california/story/2021-07-26/dixie-fire-scorches-nearly-200000-acres-doubling-in-size	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	21	July 26, 2021	TRUE				
Dynasties damaged: Team USA has a fight on its hands	https://sports.yahoo.com/dynasties-damaged-team-usa-has-a-fight-on-its-hands-135831931.html	Yahoo Sports	42.71	-6.6		Left-Center	22	July 26, 2021	TRUE				
California wildfires: More 'extreme' activity pushes Dixie Fire close to 200,000 acres	https://www.sacbee.com/news/california/fires/article253028128.html	The Sacramento Bee				Left-Center	23	July 26, 2021	TRUE				
Tunisia's democracy is rocked as president sacks parliament amid Covid crisis	https://www.cnbc.com/2021/07/26/tunisia-rocked-as-president-sacks-parliament-amid-covid-crisis.html	CNBC	45.45	-2.05	27,050,000	Left-Center	24	July 26, 2021	TRUE				
U.S. will not lift travel restrictions, citing Delta variant -White House	https://www.yahoo.com/lifestyle/travel-safely-amid-delta-variant-190053613.html	Reuters	49.3	-1.65	40,574,000	Neutral	25	July 26, 2021	TRUE				
A new way to visualize the surge in Covid-19 cases in the U.S.	https://www.statnews.com/2021/07/26/new-way-visualize-covid-19-case-surge-us/	STAT	44.86	-2.7		Left-Center	26	July 26, 2021	TRUE				
Northern California wildfires merge, forcing more from their homes	https://www.latimes.com/california/story/2021-07-25/california-wildfires-merge-forcing-more-from-their-homes	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	27	July 26, 2021	TRUE				
Cuba protesters in Washington want President Biden to do more to pressure the regime	https://www.miamiherald.com/news/nation-world/world/americas/cuba/article253018708.html	Miami Herald	46.7	-3.86		Left-Center	28	July 26, 2021	TRUE				
Tokyo Olympics Day 3 Roundup: Pool thrillers and a skeet sweep	https://www.nbcolympics.com/news/tokyo-olympics-day-3-roundup-pool-thrillers-and-skeet-sweep	NBC Sports	45.81	-7.46	26,225,000	Left-Center	29	July 26, 2021	TRUE				
Afghanistan civilian casualty figures at record high, UN says	https://www.theguardian.com/world/2021/jul/26/afghanistan-civilian-casualty-figures-at-record-high-un-says	The Guardian	44.42	-9.93	88,750,000	Left-Center	30	July 26, 2021	FALSE				
													
A medieval battle': Officers reveal horrors they faced defending Capitol on Jan. 6	https://www.politico.com/news/2021/07/27/democrats-jan-6-probe-video-and-testimony-500826	Politico	43.35	-7.19	23,750,000	Left-Center	1	July 27, 2021	TRUE				
Wildfires are increasing health risks of already-polluted regions of the U.S., experts warn	https://www.pbs.org/newshour/health/wildfires-are-increasing-health-risks-of-already-polluted-regions-of-the-u-s-experts-warn#:~:text=u%2Ds%2Dexperts%2Dwarn-,Wildfires%20are%20increasing%20health%20risks%20of%20already%2Dpolluted,of%20the%20U.S.%2C%20experts%20warn&text=But%20there%20is%20a%20growing,and%20strokes%20among%20vulnerable%20people.	PBS Newshour				Left-Center	2	July 27, 2021	TRUE				
Coup' in Tunisia: Why Arab Spring's last light is dimming	https://www.csmonitor.com/World/Middle-East/2021/0727/Coup-in-Tunisia-Why-Arab-Spring-s-last-light-is-dimming	The Christian Science Monitor				Neutral	3	July 27, 2021	TRUE				
With Simone Biles out, U.S. women's gymnastics team wins silver behind Russian Olympic Committee	https://www.nbcolympics.com/news/simone-biles-out-us-womens-gymnastics-team-wins-silver-behind-russian-olympic-committee	NBC Sports	45.81	-7.46	26,225,000	Left-Center	4	July 27, 2021	TRUE				
Simone Biles explains exit from women's team final	https://www.nbcolympics.com/news/simone-biles-explains-exit-womens-team-final	NBC Sports	45.81	-7.46	26,225,000	Left-Center	5	July 27, 2021	TRUE				
CDC recommends masks indoors even for some vaccinated against Covid-19	https://www.statnews.com/2021/07/27/cdc-recommend-masks-indoors-even-for-those-vaccinated-against-covid-19/	STAT	44.86	-2.7		Left-Center	6	July 27, 2021	TRUE				
Federal employees will soon need to be vaccinated or regularly tested	https://www.washingtonpost.com/business/2021/07/27/biden-vaccine-mandate-federal-employees/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	7	July 27, 2021	TRUE				
More 'good fire' could help California control future catastrophes	https://www.nationalgeographic.com/environment/article/more-good-fire-could-help-california-control-future-catastrophes#:~:text=More%20'good%20fire'%20could%20help,could%20help%20manage%20the%20risks.&text=About%20a%20third%20of%20California's,a%20part%20of%20its%20landscape.	National Geographic	46.11	-2.58		Pro-Science	8	July 27, 2021	TRUE				
As Dixie fire doubles in size, monsoon weather brings new threats	https://www.latimes.com/california/story/2021-07-27/as-dixie-fire-doubles-monsoons-bring-new-threats	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	9	July 27, 2021	TRUE				
Why Workplace Covid-19 Vaccine Mandates Aren't Widespread -- Yet	https://www.wsj.com/articles/why-workplace-vaccine-mandates-arent-widespreadyet-11627404913	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	10	July 27, 2021	TRUE				
CDC changes mask guidance in response to threat of Delta variant of Covid-19	https://www.cnn.com/2021/07/27/politics/cdc-mask-guidance/index.html	CNN	43.77	-8.78	79,900,000	Left	11	July 27, 2021	TRUE				
This is how I'm going to die': At Jan. 6 hearing, officers tell of harrowing attacks	https://www.usatoday.com/story/news/politics/2021/07/27/january-6-committee-officers-recall-violence-pro-donald-trump-mob/5385502001/	USA Today	45.77	-4.12	44,075,000	Left-Center	12	July 27, 2021	TRUE				
Atlanta-Area Spa Shooter Pleads Guilty in Deal with Prosecutor	https://www.wsj.com/articles/accused-atlanta-area-spa-shooter-pleads-guilty-in-deal-with-prosecutor-11627395081	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	13	July 27, 2021	TRUE				
Officers give emotional testimony at Capitol riot hearing	https://www.cbsnews.com/live-updates/january-6-capitol-riot-select-committee-first-hearing/	CBS News	48.04	-3.14	24,400,000	Left-Center	14	July 27, 2021	TRUE				
Simone Biles withdraws, and U.S. gymnastics team settles for silver	https://www.washingtonpost.com/sports/olympics/2021/07/28/simone-biles-withdraws-all-around-final-tokyo-olympics/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	15	July 27, 2021	TRUE				
Mask mandates reimposed locally in defiance of state, CDC as cases rise	https://abcnews.go.com/US/mask-mandates-return-local-level-officials-defy-state/story?id=79072477	ABC News	47.28	-4.9	39,500,000	Left-Center	16	July 27, 2021	TRUE				
Simone Biles pulled out of the Olympic gymnastics team final in Tokyo	https://www.nbcolympics.com/news/simone-biles-withdraws-floor-exercise-final-tokyo	NBC Sports	45.81	-7.46	26,225,000	Left-Center	17	July 27, 2021	TRUE				
USWNT held by Australia, reach Olympic quarterfinals	https://soccer.nbcsports.com/2021/07/27/uswnt-australia-video-highlights-recap-reaction-analysis/	NBC Sports	45.81	-7.46	26,225,000	Left-Center	18	July 27, 2021	TRUE				
Hong Kong: First person charged under national security law found guilty	https://www.bbc.com/news/world-asia-china-58022072	BBC News	46.44	-2.74	189,750,000	Left-Center	19	July 27, 2021	TRUE				
Five things to watch as Jan. 6 panel begins its work	https://thehill.com/homenews/house/564920-five-things-to-watch-as-jan-6-panel-begins-its-work	The Hill	44.99	-0.38	24,400,000	Neutral	20	July 27, 2021	TRUE				
Naomi Osaka knocked out of the Games in third round shocker	https://www.youtube.com/watch?v=bwwz6969pB4	NBC Sports	45.81	-7.46	26,225,000	Left-Center	21	July 27, 2021	TRUE				
Alaskan teen stuns swimming world with surprise gold	https://www.nbcnews.com/news/olympics/alaskan-teen-lydia-jacoby-wins-gold-u-s-upset-100-n1275104	NBC Sports	45.81	-7.46	26,225,000	Left-Center	22	July 27, 2021	TRUE				
Mandatory vaccinations for employees reach a 'tipping point'	https://www.washingtonpost.com/health/2021/07/26/mandatory-vaccinations-urged-health-workers/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	23	July 27, 2021	TRUE				
Extreme weather renews focus on climate change as scientists update forecasts	https://www.reuters.com/business/environment/extreme-weather-renews-focus-climate-change-scientists-update-forecasts-2021-07-26/	REUTERS	49.3	-1.65	40,574,000	Neutral	24	July 27, 2021	TRUE				
North and South Korea restore hotline after a year	https://www.bbc.com/news/world-57979937	BBC News	46.44	-2.74	189,750,000	Left-Center	25	July 27, 2021	TRUE				
Swimming Day 4 roundup: Alaskan swimmer Lydia Jacoby stuns in breaststroke win	https://www.nbcolympics.com/news/swimming-day-4-roundup-alaskan-swimmer-lydia-jacoby-stuns-breaststroke-win	NBC Sports	45.81	-7.46	26,225,000	Left-Center	26	July 27, 2021	TRUE				
Shocker in Tokyo: Naomi Osaka upset by Marketa Vondrousova in 3rd round of Olympics	https://sports.yahoo.com/naomi-osaka-marketa-vondrousova-tokyo-olympics-upset-045625307.html	Yahoo Sports	42.71	-6.6		Left-Center	27	July 27, 2021	TRUE				
Severe breakthrough infections remain very rare, despite rising concerns	https://www.nationalgeographic.com/science/article/severe-breakthrough-infections-remain-very-rare-despite-rising-concerns	National Geographic	46.11	-2.58		Pro-Science	28	July 27, 2021	TRUE				
Infrastructure-Bill Negotiators Try to Overcome Late Hurdles	https://www.wsj.com/articles/infrastructure-bill-negotiators-try-to-overcome-late-hurdles-11627332236	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	29	July 27, 2021	TRUE				
Heat wave bringing triple-digit temperatures from the Pacific to the Gulf Coast this week	https://www.cnn.com/2021/07/26/weather/heat-wave-us-plains-forecast-monday/index.html	CNN	43.77	-8.78	79,900,000	Left	30	July 27, 2021	TRUE				
													
													
													
Swimming Day 6 roundup: Dressel sprints, Ledecky anchors	https://www.nbcolympics.com/news/swimming-day-6-roundup-dressel-sprints-ledecky-anchors	NBC Sports	45.81	-7.46	26,225,000	Left-Center	1	July 28, 2021	TRUE				
Whistleblowers detail poor conditions for migrant kids in U.S. tent camp	https://www.cbsnews.com/news/immigration-fort-bliss-migrant-children-whistleblower-complaint/	CBS News	48.04	-3.14	24,400,000	Left-Center	2	July 28, 2021	TRUE				
Extreme weather is upending lives in the West. 'You walk around with this vague sense of terror.'	https://www.cnn.com/2021/07/28/weather/extreme-heat-wildfires-climate-change-impact/index.html	CNN	43.77	-8.78	79,900,000	Left	3	July 28, 2021	TRUE				
Roads, broadband and bridges: Here's what's in the infrastructure agreement	https://www.usatoday.com/story/news/politics/2021/07/28/infrastructure-bill-includes-roads-bridges-broadband-under-deal/7979680002/	USA Today	45.77	-4.12	44,075,000	Left-Center	4	July 28, 2021	TRUE				
CDC reversal on indoor masking prompts experts to ask, 'Where's the data?'	https://www.washingtonpost.com/health/breakthrough-infections-cdc-data/2021/07/28/dcaaa6b2-efce-11eb-a452-4da5fe48582d_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	5	July 28, 2021	TRUE				
Caeleb Dressel sets Olympic record in 100 free, wins first individual gold	https://www.nbcolympics.com/news/caeleb-dressel-sets-olympic-record-100-free-wins-first-individual-gold	NBC Sports	45.81	-7.46	26,225,000	Left-Center	6	July 28, 2021	TRUE				
Bipartisan Infrastructure Deal Advances in Senate	https://www.wsj.com/articles/infrastructure-agreement-on-major-issues-reached-by-bipartisan-group-gop-negotiator-says-11627487459	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	7	July 28, 2021	TRUE				
Senate votes to take up infrastructure deal	https://thehill.com/homenews/senate/565365-senate-votes-to-begin-debate-on-infrastructure-deal	The Hill	44.99	-0.38	24,400,000	Neutral	8	July 28, 2021	TRUE				
What the CDC's 'substantial' and 'high' levels of Covid-19 transmission actually mean	https://www.cnn.com/2021/07/28/health/substantial-or-high-covid-19-transmission-wellness/index.html	CNN	43.77	-8.78	79,900,000	Left	9	July 28, 2021	TRUE				
Too hot to endure: See how climate change is pushing the human body to the brink	https://www.washingtonpost.com/world/interactive/2021/climate-change-humidity/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	10	July 28, 2021	TRUE				
Tunisia in turmoil as president purges officials and seizes judical power	https://www.theguardian.com/world/2021/jul/28/tunisia-in-turmoil-as-president-purges-officials-and-seizes-judicial-power	The Guardian	44.42	-9.93	88,750,000	Left-Center	11	July 28, 2021	TRUE				
Swimming Day 6 preview: Caeleb Dressel races 100m freestyle, Ledecky leads U.S. relay	https://www.nbcolympics.com/news/swimming-day-6-preview-caeleb-dressel-races-100m-freestyle-ledecky-leads-us-relay	NBC Sports	45.81	-7.46	26,225,000	Left-Center	12	July 28, 2021	TRUE				
As Biles steps back, more athletes speak up about stress and mental health	https://www.nbcolympics.com/news/biles-steps-back-more-athletes-speak-about-stress-and-mental-health	NBC Sports	45.81	-7.46	26,225,000	Left-Center	13	July 28, 2021	TRUE				
At Tokyo Olympics, women athletes say 'enough'	https://www.usatoday.com/story/life/health-wellness/2021/07/28/simone-biles-bikinis-nursing-moms-olympians-fight-sexism-tokyo/5394820001/	USA Today	45.77	-4.12	44,075,000	Left-Center	14	July 28, 2021	TRUE				
Bipartisan infrastructure deal clears key Senate vote	https://www.latimes.com/politics/story/2021-07-28/senate-bipartisan-infrastructure-deal	Los Angeles Times	46.04	-7.27	15,765,000	Left-Center	15	July 28, 2021	TRUE				
What Michael Phelps had to say about Simone Biles's exit	https://www.youtube.com/watch?v=ZHZnqUW1l7o	NBC Sports	45.81	-7.46	26,225,000	Left-Center	16	July 28, 2021	FALSE				
The CDC hasn't changed': Biden's top health officials try to sell new masking guidance	https://www.politico.com/news/2021/07/28/biden-health-officials-masking-guidance-501227	Politico	43.35	-7.19	23,750,000	Left-Center	17	July 28, 2021	TRUE				
Heat dome dominates U.S. weather as a "derecho" threat looms in Midwest	https://www.axios.com/heat-dome-derecho-threat-midwest-75f44954-38a1-4485-bc67-85ba446aa91d.html	AXIOS	46.38	-4.45	3,613,000	Left-Center	18	July 28, 2021	TRUE				
How Suni Lee could win all-around gold	https://www.youtube.com/watch?v=4Qn49CBmd9M	NBC Sports	45.81	-7.46	26,225,000	Left-Center	19	July 28, 2021	TRUE				
CDC mask recommendations have changed again. What's required in your state?	https://www.usatoday.com/story/news/nation/2021/07/27/mask-requirements-state/8087357002/	USA Today	45.77	-4.12	44,075,000	Left-Center	20	July 28, 2021	TRUE				
I don't feel any fear going out.' How residents are living in America's most vaccinated state	https://www.cnn.com/2021/07/28/us/vermont-most-vaccinated-coronavirus-state/index.html	CNN	43.77	-8.78	79,900,000	Left	21	July 28, 2021	TRUE				
I Need to Call It': Behind Simone Biles's Stunning Olympic Withdrawal	https://www.wsj.com/articles/simone-biles-olympic-withdrawal-11627473098	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	22	July 28, 2021	TRUE				
Bipartisan group reaches agreement on $1.2 trillion "hard" infrastructure bill	https://www.axios.com/bipartisan-infrastructure-bill-finalized-5d15a0b1-a0b7-4f6d-b486-8d894075d09c.html	AXIOS	46.38	-4.45	3,613,000	Left-Center	23	July 28, 2021	TRUE				
U.S. women stifle ROC to win 3x3 basketball in sport's Olympic debut	https://www.nbcolympics.com/news/us-women-stifle-roc-win-3x3-basketball-sports-olympic-debut	NBC Sports	45.81	-7.46	26,225,000	Left-Center	24	July 28, 2021	TRUE				
NY, LA Among Big Cities Joining Rural Areaas in CDC Mask Zone	https://www.bloomberg.com/news/articles/2021-07-27/nyc-la-among-big-cities-joining-rural-states-in-cdc-mask-zone	Bloomberg	45.76	-3.04	26,673,500	Left-Center	25	July 28, 2021	FALSE				
