Top Stories	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 hours?		Factual Reporting		(probably not needed)
"Your evil revolution": how a reggaeton anthem inspired cuba protests	https://www.nationalgeographic.com/history/article/cuba-protests	National Geographic	46.11	-2.58		Pro-Science	24	July 13, 2021	FALSE		High		
Recovery operation moves toward completion at Florida condo collapse, 95 dead	https://www.cnbc.com/2021/07/13/recovery-operation-moves-toward-completion-at-florida-condo-collapse.html	CNBC	45.45	-2.05	27,050,000	Left-Center	25	July 13, 2021	TRUE		Mostly Factual		
Texas governor says Democratic lawmakers who left state to stop voting law could face arrest	https://www.washingtonpost.com/politics/texas-democrats-voting-restrictions/2021/07/12/99d35154-e326-11eb-8aa5-5662858b696e_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	26	July 13, 2021	TRUE		Mostly Factual		
COVID-19 case count spikes hit almost every state	https://thehill.com/policy/healthcare/562628-covid-19-case-count-spikes-hit-almost-every-state	The Hill	44.99	-0.38	24,400,000	Neutral	27	July 13, 2021	FALSE		Mostly Factual		
Bootleg fire, one of dozens raging in the west, creates "firenado" near orgeon-california border	https://www.usatoday.com/story/news/nation/2021/07/13/wildfires-roar-through-west-california-oregon-and-beyond/7947936002/	USA Today				Left-Center	28	July 13, 2021	TRUE		High		
South Africa Zuma riots: deadly unrest rages across country	https://www.bbc.com/news/world-africa-57818215	BBC News	46.44	-2.74	189,750,000	Left-Center	29	July 13, 2021	TRUE		High		
Customers are back at restaurants and bard, but workers have moved on	https://www.wsj.com/articles/customers-are-back-at-restaurants-and-bars-but-workers-have-moved-on-11626168601	The Wall Street Journal				Right-Center	30	July 13, 2021	TRUE		Mostly Factual		
													
Biden rallies support on Capitol Hill for sweeping spending deal	https://www.nbcnews.com/politics/congress/biden-heads-capitol-promote-infrastructure-deal-n1273907	NBC News	45.81	-7.46	26,225,000	Left-Center	1	July 14, 2021	TRUE				
Historians Identify 14 Living Relatives of Leonardo da Vinci	https://www.smithsonianmag.com/smart-news/da-vinci-relatives-dna-testing-genome-180978153/	Smithsonian				Pro-Science	2	July 14, 2021	FALSE				
Britney Spears granted right to hire own lawyer; accuses father of 'conservatorship abuse'	https://www.nbcnews.com/pop-culture/pop-culture-news/britney-spears-wants-choose-her-own-attorney-she-may-find-n1273876	NBC News	45.81	-7.46	26,225,000	Left-Center	3	July 14, 2021	TRUE				
Cuba's Internet comes back on - and reveals scenes of a crackdown	https://www.washingtonpost.com/world/2021/07/14/cuba-protests-internet/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	4	July 14, 2021	TRUE				
Wildfires spread across almost 1M miles of drought-stricken US	https://www.foxnews.com/us/wildfires-spread-million-acres-drought-us	Fox News				Right	5	July 14, 2021	TRUE				
What's in Democrats' $3.5 trillion budget plan - and how they plan to pay for it	https://www.wsj.com/articles/democrats-budget-plan-what-11626301275	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	6	July 14, 2021	TRUE				
Delta variant gains ground in U.S. as outbreaks highlight vaccine divide	https://www.theguardian.com/us-news/2021/jul/14/us-delta-variant-coronavirus-covid-vaccine-divide	The Guardian	44.42	-9.93	88,750,000	Left-Center	7	July 14, 2021	TRUE				
EU, China Unveils Sweeping Plans to Cut Greenhouse-Gas Emissions	https://www.wsj.com/articles/eu-to-propose-sweeping-economic-plan-to-combat-climate-change-11626251377	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	8	July 14, 2021	TRUE				
FBI made serious errors during sex abuse investigation of Larry Nassar, Justice Department says	https://www.latimes.com/politics/story/2021-07-14/justice-department-inspector-general-nassar-investigation	Los Angeles Times				Left-Center	9	July 14, 2021	TRUE				
Red State, Blue State, Twin Outbreak: Behind Wyoming and Colorado's Anomalous Covid Spikes	https://khn.org/news/article/red-state-blue-state-twin-outbreak-behind-wyoming-and-colorados-anomalous-covid-spikes/	Kaiser Health News				Unknown	10	July 14, 2021	TRUE				
Britney Spears Gets Court Approval to Hire Her Chosen Attorney in Conservatorship Battle	https://www.hollywoodreporter.com/news/general-news/britney-spears-conservatorship-battle-1234981839/	Hollywood Reporter				Left-Center	11	July 14, 2021	TRUE				
European Commision proposes ambitious climate change policies, urging U.S. and other nations to follow	https://www.washingtonpost.com/world/europe-climate-plan/2021/07/14/197ced78-e49b-11eb-88c5-4fd6382c47cb_story.html	The Washington Post	44.05	-7.42	76,195,000	Left-Center	12	July 14, 2021	TRUE				
Absolutely chilling': Larry Nassar sex abuse reports met with massive FBI failures, DOJ watchdog says	https://www.usatoday.com/story/news/politics/2021/07/14/larry-nassar-investigation-included-appalling-failures-fbi-admits/7971033002/	USA Today	45.77	-4.12	44,075,000	Left-Center	13	July 14, 2021	TRUE				
Passport Delays to Persist, State Department Says, Even With More Staffing	https://www.wsj.com/articles/passport-delays-to-persist-state-department-says-even-with-more-staffing-11626296173	The Wall Street Journal				Right-Center	14	July 14, 2021	TRUE				
Biden urges Democratic unity on rebuilding infrastructure, expanding social programs	https://www.latimes.com/politics/story/2021-07-14/senate-infrastructure-latest	Los Angeles Times				Left-Center	15	July 14, 2021	TRUE				
Miami-Dade judge approves pursuing sale of Surfside property that is site of condo collapse	https://www.miamiherald.com/news/local/crime/article252754113.html	Miami Herald	46.7	-3.86		Left-Center	16	July 14, 2021	TRUE				
Brace for flooding. A moon 'wobble' is coming, NASA warns	https://www.usatoday.com/story/news/weather/2021/07/13/moons-wobble-cause-record-number-flood-nasa/7958703002/	USA Today	45.77	-4.12	44,075,000	Left-Center	17	July 14, 2021	TRUE				
Health costs of gun violence exceeds $1 billion a year, GAO says	https://www.politico.com/news/2021/07/14/gun-violence-health-costs-499615	POLITICO	43.35	-7.19	23,750,000	Left-Center	18	July 14, 2021	TRUE				
We are seeing people passing quicker than before': What hospitals look like in US Covid hot spots	https://www.cnn.com/2021/07/13/us/us-covid-hot-spots-hospitals/index.html	CNN	43.77	-8.78	79,900,000	Left	19	July 14, 2021	TRUE				
More People Than Ever Died Of Drug Overdoses In The US In 2020	https://www.buzzfeednews.com/article/danvergano/overdose-deaths-record-2020	BuzzFeed News				Left-Center	20	July 14, 2021	TRUE				
US to evacuate Afghans who assisted US military	https://thehill.com/policy/defense/562953-us-to-evacuate-afghans-who-assisted-us-military	The Hill	44.99	-0.38	24,400,000	Neutral	21	July 14, 2021	TRUE				
In Cuba, Covid-19 Stress Pushes Unrest to the Edge	https://www.wsj.com/articles/in-cuba-covid-19-stress-pushes-unrest-to-the-edge-11626268720	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	22	July 14, 2021	TRUE				
Items found in Surfside rubble could bring legal challenges upon trying to return them	https://www.yahoo.com/lifestyle/possessions-found-surfside-collapse-reveal-083735803.html	NBC News	45.81	-7.46	26,225,000	Left-Center	23	July 14, 2021	TRUE				
Democrats' next political high-wire act: Selling their $3.5T budget deal	https://www.politico.com/news/2021/07/14/democrats-selling-budget-deal-499595	POLITICO	43.35	-7.19	23,750,000	Left-Center	24	July 14, 2021	TRUE				
Drug overdose deaths hit highest number ever recorded, CDC data shows	https://www.cnn.com/2021/07/14/health/drug-overdose-deaths-2020/index.html	CNN	43.77	-8.78	79,900,000	Left	25	July 14, 2021	TRUE				
U.S. Covic-19 Case Counts Have Doubled in Recent Weeks	https://www.wsj.com/articles/u-s-covid-19-case-counts-have-doubled-in-recent-weeks-11626198501	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	26	July 14, 2021	TRUE				
Democrats unveil $3.5T go-it-alone plan to fulfill Biden's agenda	https://www.politico.com/news/2021/07/13/democrats-spending-plan-biden-agenda-499593	POLITICO	43.35	-7.19	23,750,000	Left-Center	27	July 14, 2021	FALSE				
Iranian intelligence agents plotted abduction of Brooklyn journalist, prosecutors say	https://www.washingtonpost.com/world/2021/07/14/iran-journalist-kidnapping-alinejad/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	28	July 14, 2021	TRUE				
This Is A Test Of Our Time,' Biden Says About Voting Rights Battles	https://www.npr.org/2021/07/13/1015621049/texas-democrats-biden-voting-rights	NPR	46.41	-5.24	38,240,000	Left-Center	29	July 14, 2021	FALSE				
More than 70 killed in South Africa protests after former leader jacob Zuma is jailed	https://www.cnn.com/2021/07/13/africa/south-africa-violence-protests-intl/index.html	CNN	43.77	-8.78	79,900,000	Left	30	July 14, 2021	TRUE				
													
At least 67 dead and hundreds missing as flooding rages across Germany and Belgium	https://www.washingtonpost.com/world/2021/07/16/europe-flooding-deaths-germany-belgium/	The Washington Post	44.05	-7.42	76,195,000	Left-Center	1	July 15, 2021	TRUE				
L.A. County will require masks indoors amid alarming rise in coronavirus cases	https://www.latimes.com/california/story/2021-07-15/l-a-county-will-require-masks-indoors-amid-covid-19-surge	Los Angeles Times				Left-Center	2	July 15, 2021	TRUE				
WHO warns of "strong likelihood" of new, possibly more dangerous variants	https://abcnews.go.com/Health/warns-strong-likelihood-possibly-dangerous-variants/story?id=78872737	ABC News				Left-Center	3	July 15, 2021	TRUE				
"What choice do we have?": U.S. farm workers battle deadly heatwave	https://www.aljazeera.com/economy/2021/7/15/what-choice-do-we-have-us-farm-workers-battle-deadly-heat-wave#:~:text=%E2%80%9CThe%20heat%20is%20too%20much,'t%20afford%20to%20stop.%E2%80%9D	Aljazeera				Left-Center	4	July 15, 2021	TRUE				
More than 30 suspects implicated in plot to kill Haitian president, officials say	https://www.wsj.com/articles/ex-soldiers-securityofficials-and-businessmen-conspired-to-kill-haitian-president-officials-say-11626386009	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	5	July 15, 2021	TRUE				
Ex-Soldiers, Security Officials and Businessmen Conspired to Kill Haitian President, Officials Say	https://www.wsj.com/articles/ex-soldiers-securityofficials-and-businessmen-conspired-to-kill-haitian-president-officials-say-11626386009	The Wall Street Journal	46.32	4.92	39,430,000	Right-Center	6	July 15, 2021	TRUE				
